ADM0_NAME,rgdppc_200,rgdppc_195,rgdppc_197,rgdppc_2_1,rgdppc_1_1,slave_expo
Sudan,1682.673999999999978,820.836999999999989,910.048000000000002,991.254000000000019,903.639000000000010,864000.000000000000000
Angola,1794.729000000000042,1051.821999999999889,1073.036000000000058,765.215000000000032,1106.762999999999920,3610000.000000000000000
Benin,959.221999999999980,1083.627999999999929,969.317999999999984,1282.897999999999911,1082.473999999999933,457000.000000000000000
Botswana,7702.507999999999811,348.507000000000005,1223.490000000000009,4268.640999999999622,1631.317000000000007,0.000000000000000
Burkina Faso,998.416000000000054,474.312999999999988,669.514999999999986,921.090000000000032,719.510999999999967,167000.000000000000000
Cameroon,1882.686999999999898,670.951000000000022,1051.615000000000009,1082.338999999999942,1036.538999999999987,66718.812000000005355
Cape Verde,4859.108000000000175,449.648000000000025,524.741999999999962,1776.535000000000082,809.993000000000052,0.000000000000000
Central African Republic,1148.050999999999931,771.576999999999998,781.798999999999978,575.543000000000006,757.837999999999965,2009.941000000000031
Chad,821.149999999999977,475.502000000000010,550.500000000000000,428.786999999999978,472.882999999999981,529000.000000000000000
Comoros,1770.218000000000075,560.304999999999950,804.062000000000012,580.913000000000011,730.932999999999993,0.000000000000000
Congo,957.403000000000020,1198.207000000000107,2191.132999999999811,2005.219000000000051,1914.573000000000093,94662.922000000005937
Cï¿½te d'Ivoire,1575.627999999999929,1040.877999999999929,1800.012999999999920,1352.019000000000005,1536.269999999999982,52645.949000000000524
Democratic Republic of the Congo,668.663000000000011,569.741999999999962,760.788999999999987,216.949999999999989,611.092999999999961,767000.000000000000000
Djibouti,1881.967000000000098,1499.582000000000107,2065.445000000000164,1102.542999999999893,1647.355000000000018,4.176000000000000
South Sudan,,,,,,
Equatorial Guinea,15189.540000000000873,539.763000000000034,1294.000999999999976,7973.103000000000065,1623.250000000000000,10.500000000000000
Eritrea,911.884000000000015,,,,,133000.000000000000000
Ethiopia,635.793999999999983,,,,,1310000.000000000000000
Gabon,6118.662000000000262,3108.376999999999953,9405.868000000000393,3847.074999999999818,5359.929000000000087,27402.171999999998661
Gambia,1728.198000000000093,607.365000000000009,1049.605999999999995,894.812999999999988,866.361999999999966,21730.895000000000437
Ghana,1892.807999999999993,1121.794000000000096,1246.881000000000085,1269.883000000000038,1217.556000000000040,1610000.000000000000000
Guinea-Bissau,782.476999999999975,289.153000000000020,925.067000000000007,680.605999999999995,707.145999999999958,181000.000000000000000
Guinea,1975.794000000000096,303.321000000000026,512.135999999999967,571.719000000000051,469.723999999999990,350000.000000000000000
Kenya,1018.730999999999995,650.600999999999999,941.847999999999956,1030.686999999999898,912.759000000000015,86447.906000000002678
Lesotho,2122.543999999999869,355.365999999999985,714.936000000000035,1490.346000000000004,824.398000000000025,0.000000000000000
Liberia,,1054.759000000000015,1247.826999999999998,990.058999999999969,1195.255000000000109,6789.634000000000015
Madagascar,825.244000000000028,951.009999999999991,1126.289999999999964,705.899000000000001,966.595000000000027,125000.000000000000000
Malawi,586.251999999999953,324.055999999999983,591.720000000000027,656.235000000000014,507.870999999999981,125000.000000000000000
Mali,779.596999999999980,456.875000000000000,612.962999999999965,891.655999999999949,638.532000000000039,842000.000000000000000
Mauritania,1729.208000000000084,463.918000000000006,961.990999999999985,1016.919999999999959,856.331000000000017,164000.000000000000000
Mauritius,9622.512000000000626,2489.759000000000015,3969.068999999999960,10652.315000000000509,4876.055999999999585,0.000000000000000
Mozambique,876.868000000000052,1133.420000000000073,1403.619999999999891,1364.891000000000076,1278.819999999999936,626000.000000000000000
Namibia,6057.855999999999767,2159.704999999999927,3333.925000000000182,3637.061999999999898,3181.150999999999840,190.350999999999999
Niger,703.140999999999963,617.030999999999949,658.875000000000000,486.396999999999991,683.153000000000020,19911.726999999998952
Nigeria,882.590000000000032,752.681000000000040,1416.623000000000047,1251.178000000000111,1109.575000000000045,2020000.000000000000000
Senegal,1435.082000000000107,1258.897999999999911,1396.078999999999951,1358.174999999999955,1348.292999999999893,377000.000000000000000
Seychelles,17957.470000000001164,1912.258000000000038,3250.873999999999796,6353.528000000000247,3625.007000000000062,0.000000000000000
Sierra Leone,466.646999999999991,656.268000000000029,1125.709000000000060,409.872000000000014,904.313999999999965,69606.718999999997322
Somalia,,1056.633000000000038,1201.616999999999962,863.075000000000045,1117.015000000000100,32276.752000000000407
South Africa,9419.121999999999389,2534.945999999999913,4270.850999999999658,3978.219000000000051,3667.398999999999887,2030.663000000000011
Burundi,621.652000000000044,360.141999999999996,534.857999999999947,495.976999999999975,530.763000000000034,86.997000000000000
Swaziland,4681.444999999999709,721.089000000000055,2461.907999999999902,2630.322000000000116,1902.181000000000040,0.000000000000000
Togo,1436.855000000000018,573.994000000000028,1055.553000000000111,614.221999999999980,833.230000000000018,290000.000000000000000
Uganda,1243.513999999999896,686.854000000000042,784.287000000000035,796.523000000000025,699.696000000000026,4553.603000000000065
United Republic of Tanzania,521.826999999999998,423.713999999999999,600.268000000000029,535.125000000000000,527.039999999999964,535000.000000000000000
Zambia,774.009999999999991,660.909999999999968,1040.743999999999915,645.375000000000000,863.642000000000053,27957.101999999998952
Zimbabwe,2499.215000000000146,700.979000000000042,1401.810999999999922,1327.849999999999909,1163.541999999999916,1088.176999999999907
Algeria,5417.909999999999854,1364.740000000000009,2521.952999999999975,2864.550999999999931,2389.184999999999945,61834.148000000001048
Abyei,,,,,,
Libya,,857.168000000000006,5515.242000000000189,2312.992999999999938,3978.577000000000226,8847.930000000000291
Morocco,3513.833999999999833,1455.361000000000104,1830.967000000000098,2657.561999999999898,1952.038999999999987,0.000000000000000
Rwanda,1039.172000000000025,546.902000000000044,805.649000000000001,818.696000000000026,739.706000000000017,0.000000000000000
Sao Tome and Principe,,820.357999999999947,1421.446999999999889,1225.895999999999958,1255.840999999999894,0.000000000000000
Tunisia,6251.551000000000386,1114.596000000000004,2446.059000000000196,4552.261999999999716,2441.639999999999873,0.000000000000000
Western Sahara,,,,,,
Hala'ib triangle,,,,,,
Ma'tan al-Sarra,,,,,,
Egypt,3598.329000000000178,909.903000000000020,1420.782999999999902,2936.673999999999978,1711.680000000000064,1491.701000000000022
Ilemi triangle,,,,,,
